epoch;acc;loss;val_acc;val_loss
0;0.7934619040076034;0.7563037949735344;0.7245188880756933;0.9532933191835073
1;0.9130563915729447;0.40419534098492094;0.8656450462868106;0.5243261549953725
2;0.938618723269444;0.28682182475265944;0.9280114041339985;0.5836260389788865
3;0.9490931411373357;0.24795635137161154;0.9429793300071276;0.28035124597894406
4;0.9596863614763187;0.2105666787853223;0.8993228795438346;0.41573581772876994
5;0.9608743861872326;0.21311328420614678;0.9586600142551674;0.23817730639249363
6;0.967071915095834;0.18679051802126442;0.9331789023521027;0.2904380970844947
7;0.9716260098210042;0.16219914259509127;0.953136136849608;0.23816838565781043
8;0.9735466497703152;0.15376072114136713;0.9647184604419102;0.19581804700137373
9;0.9765959131949945;0.13763692753993442;0.9686386315039202;0.17346674662431222
10;0.9772295263741486;0.13022111363044522;0.9280114041339985;0.168878024965206
11;0.9782393473784254;0.12519938954719104;0.966143977191732;0.16861380068472429
12;0.9790709646760652;0.11900205570191225;0.9702423378474697;0.15013925952893958
13;0.980496594329162;0.11116690762516872;0.9825374198146828;0.11293374323926691
14;0.9813084112149533;0.10426618064814638;0.9538488952245189;0.21601883460603608
15;0.9829122445746872;0.09867124659322472;0.9789736279401283;0.11327404393373072
16;0.9827538412798986;0.09688039069722953;0.947255880256593;0.24591896023418083
17;0.9833082528116585;0.09392414719153136;0.9828937990021382;0.10194094609920565
18;0.984060668461904;0.09094715678499964;0.9738061297220242;0.14049765642357995
19;0.9842982734040868;0.0858935476188546;0.9761225944404847;0.12419546558040427
20;0.9849912878187866;0.08427541781114772;0.9729151817533856;0.11958941021709785
21;0.9855456993505465;0.08282983715283206;0.977191732002851;0.10865884780331501
